"","qumn","province","nhh","a4","a5","a6","MajMin","a9_1","a10","b6","c6","c11_1","c12","c32","d36aa","v1501","t101","t104","t116","t122","v1501.1","v1511","b1","b3","b4","b5","b6.1"
"9115",43584,"64",4,1,40,1,1,1,4,1,4,5,9,8,8611.75,7680,1,2,4800,325,7680,4600,6,1,2,NA,1
"9116",43590,"64",2,1,48,1,1,1,4,1,2,5,7,18,43542.5,7680,1,2,4800,325,7680,4600,1,1,2,2,1
"9117",43590,"64",2,2,46,1,1,1,1,2,1,6,9,18,43542.5,7680,1,2,4800,325,7680,4600,1,1,2,2,2
"9118",43596,"64",3,2,47,1,1,1,4,2,3,5,7,16,29497.3333333333,7680,1,2,4800,325,7680,4600,6,1,2,2,2
"9119",43596,"64",3,1,21,2,1,1,4,1,1,5,9,16,29497.3333333333,7680,1,2,4800,325,7680,4600,1,2,2,1,1
"9120",43596,"64",3,1,49,1,1,1,4,2,3,6,9,16,29497.3333333333,7680,1,2,4800,325,7680,4600,6,1,2,2,2
"9121",43602,"64",2,2,51,1,1,1,4,2,4,5,7,11,26775,7680,1,2,4800,325,7680,4600,9,2,NA,2,2
"9122",43602,"64",2,1,54,1,1,1,4,2,4,5,7,11,26775,7680,1,2,4800,325,7680,4600,6,1,2,2,2
"9123",43608,"64",5,2,39,1,1,1,4,1,3,4,6,4,6625.2,7455,1,2,2980,695,7455,3650,1,1,2,2,1
"9124",43608,"64",5,1,41,1,1,1,4,1,3,5,9,4,6625.2,7455,1,2,2980,695,7455,3650,1,1,1,2,1
"9125",43608,"64",5,2,16,2,1,1,4,NA,2,6,10,4,6625.2,7455,1,2,2980,695,7455,3650,2,2,NA,NA,NA
"9126",43614,"64",3,1,41,2,1,1,4,1,4,1,NA,NA,9348,7455,1,2,2980,695,7455,3650,6,2,2,2,1
"9127",43620,"64",4,1,30,1,1,1,4,1,3,5,9,NA,10418.25,7455,1,2,2980,695,7455,3650,8,2,1,1,1
"9128",43620,"64",4,2,30,1,1,1,4,2,3,5,9,NA,10418.25,7455,1,2,2980,695,7455,3650,6,2,2,2,2
"9129",43626,"64",4,1,22,2,1,1,4,1,2,8,12,12,18071.25,7455,1,2,2980,695,7455,3650,1,2,2,2,1
"9130",43626,"64",4,2,48,1,1,1,4,2,2,6,9,12,18071.25,7455,1,2,2980,695,7455,3650,6,1,1,2,2
"9131",43626,"64",4,1,51,1,1,1,1,2,2,6,9,12,18071.25,7455,1,2,2980,695,7455,3650,8,2,1,2,2
"9132",43626,"64",4,1,26,2,1,1,4,1,2,5,9,12,18071.25,7455,1,2,2980,695,7455,3650,8,2,2,2,1
"9133",43632,"64",2,1,53,1,1,1,4,1,4,4,5,3,8564,7455,1,2,2980,695,7455,3650,1,1,2,NA,1
"9134",43632,"64",2,2,45,1,1,1,4,NA,4,4,5,3,8564,7455,1,2,2980,695,7455,3650,6,1,1,NA,NA
"9135",43638,"64",4,1,20,2,1,1,4,1,3,7,12,5,7038.5,7455,1,2,2980,695,7455,3650,1,2,2,NA,1
"9136",43638,"64",4,2,42,1,1,1,4,1,4,4,6,5,7038.5,7455,1,2,2980,695,7455,3650,1,1,1,2,1
"9137",43638,"64",4,2,16,2,1,1,4,NA,3,5,9,5,7038.5,7455,1,2,2980,695,7455,3650,2,2,2,NA,NA
"9138",43638,"64",4,1,43,1,1,1,4,1,4,5,9,5,7038.5,7455,1,2,2980,695,7455,3650,8,1,1,2,1
"9139",43644,"64",3,1,48,1,1,1,4,NA,4,6,11,4,17004.3333333333,7455,1,2,2980,695,7455,3650,1,1,1,NA,NA
"9140",43644,"64",3,2,52,1,1,1,4,1,4,5,8,4,17004.3333333333,7455,1,2,2980,695,7455,3650,1,1,2,NA,1
"9141",43644,"64",3,1,19,2,1,1,4,1,4,5,9,4,17004.3333333333,7455,1,2,2980,695,7455,3650,1,NA,2,NA,1
"9142",43650,"64",3,1,33,1,1,1,4,1,2,5,NA,2,7500.53333333333,7455,1,2,2980,695,7455,3650,9,1,1,NA,1
"9143",43650,"64",3,2,28,1,1,1,4,2,2,5,NA,2,7500.53333333333,7455,1,2,2980,695,7455,3650,6,1,2,NA,2
"9144",43656,"64",2,2,57,1,1,1,4,2,2,4,3,8,17188,7800,2,2,3200,635,7800,500,6,1,1,2,2
"9145",43656,"64",2,1,58,1,1,1,4,2,2,4,4,8,17188,7800,2,2,3200,635,7800,500,9,1,2,2,2
"9146",43662,"64",4,2,16,2,1,1,4,NA,2,7,11,28,10882.75,7800,2,2,3200,635,7800,500,2,NA,NA,NA,NA
"9147",43662,"64",4,1,18,2,1,1,4,1,2,5,9,28,10882.75,7800,2,2,3200,635,7800,500,1,1,2,2,1
"9148",43662,"64",4,1,44,1,1,1,4,2,2,5,9,28,10882.75,7800,2,2,3200,635,7800,500,1,1,2,2,2
"9149",43662,"64",4,2,41,1,1,1,4,2,4,1,NA,28,10882.75,7800,2,2,3200,635,7800,500,1,1,2,2,2
"9150",43668,"64",4,2,32,1,1,1,4,2,3,5,9,14,14745.5,7800,2,2,3200,635,7800,500,6,1,2,NA,2
"9151",43668,"64",4,1,33,1,1,1,4,1,3,5,9,14,14745.5,7800,2,2,3200,635,7800,500,1,NA,2,NA,1
"9152",43674,"64",3,1,46,1,1,1,4,NA,4,5,9,17,18630.6666666667,7800,2,2,3200,635,7800,500,1,1,1,NA,NA
"9153",43674,"64",3,2,43,1,1,1,4,NA,4,5,9,17,18630.6666666667,7800,2,2,3200,635,7800,500,6,1,NA,NA,NA
"9154",43674,"64",3,1,19,2,1,1,4,NA,2,6,9,17,18630.6666666667,7800,2,2,3200,635,7800,500,2,NA,NA,NA,NA
"9155",43680,"64",5,1,20,2,1,1,NA,1,2,5,9,10,11298.6,7800,2,2,3200,635,7800,500,1,2,NA,NA,1
