"","qumn","province","nhh","a4","a5","a6","MajMin","a9_1","a10","b6","c6","c11_1","c12","c32","d36aa","v1501","t101","t104","t116","v1501.1","v1511","b6.1","b6_1","b13_1","b14","b15","e31","v1409","t122","v1601","v1602","v1611","v1621","v1631","v1641","v1511.1","v1501.2"
"111",2148,"63",4,1,43,1,1,1,4,1,2,5,8,15,12853.25,4400,3,2,3750,4400,2400,1,2.09999990463257,2011,2,2001,2,1,324,1,35,1,1,1,1,2400,4400
"112",2152,"63",6,1,23,1,1,1,4,1,2,5,8,18,1637.16666666667,4400,3,2,3750,4400,2400,1,1,2010,NA,2009,2,1,324,1,35,1,1,1,1,2400,4400
"113",2152,"63",6,2,43,1,1,1,4,2,3,4,3,18,1637.16666666667,4400,3,2,3750,4400,2400,2,NA,NA,NA,NA,NA,1,324,1,35,1,1,1,1,2400,4400
"114",2152,"63",6,1,45,1,1,1,4,1,2,4,3,18,1637.16666666667,4400,3,2,3750,4400,2400,1,1,2011,NA,2008,2,1,324,1,35,1,1,1,1,2400,4400
"115",2152,"63",6,1,21,2,1,1,4,1,2,5,8,18,1637.16666666667,4400,3,2,3750,4400,2400,1,12,2010,NA,2009,2,1,324,1,35,1,1,1,1,2400,4400
"116",2152,"63",6,2,21,1,1,1,4,2,2,5,8,18,1637.16666666667,4400,3,2,3750,4400,2400,2,NA,NA,NA,NA,NA,1,324,1,35,1,1,1,1,2400,4400
"117",2156,"63",5,2,52,4,1,1,4,2,3,1,NA,NA,2652.2,4400,3,2,3750,4400,2400,2,NA,NA,NA,NA,NA,1,324,1,35,1,1,1,1,2400,4400
"118",2156,"63",5,2,24,1,1,1,4,2,2,5,7,NA,2652.2,4400,3,2,3750,4400,2400,2,NA,NA,NA,NA,NA,1,324,1,35,1,1,1,1,2400,4400
"119",2156,"63",5,1,26,1,1,1,4,1,2,4,3,NA,2652.2,4400,3,2,3750,4400,2400,1,2,2011,NA,NA,2,1,324,1,35,1,1,1,1,2400,4400
"120",2160,"63",3,2,46,1,1,1,4,2,2,1,NA,13.8000001907349,6716,6439,3,2,3780,6439,3000,2,NA,NA,NA,NA,NA,1,272,1,40,1,1,1,1,3000,6439
