"","qumn","province","nhh","a4","a5","a6","MajMin","a9_1","a10","c6","c11_1","c12","c32","d36aa","v1501","t101","t104","t116","t122","v1501.1","v1511","b06","b11","b01","b02","CookMthd","b04","b05","a16","a18","h28","h29","a19","a20","a17","a21"
"109",6444,"63",4,1,17,2,1,1,4,2,6,11.5,15,12853.25,4400,3,2,3750,324,4400,2400,75,5000,2,3,"Coal",1,1,1,NA,2,NA,NA,NA,1,2
"110",6444,"63",4,2,36,1,1,1,4,2,4,4,15,12853.25,4400,3,2,3750,324,4400,2400,75,5000,2,3,"Coal",1,1,1,NA,2,NA,NA,NA,1,2
"111",6444,"63",4,1,43,1,1,1,4,2,5,8,15,12853.25,4400,3,2,3750,324,4400,2400,75,5000,2,3,"Coal",1,1,1,10,2,NA,1,20,1,2
"112",6456,"63",6,1,23,1,1,1,4,2,5,8,18,1637.16666666667,4400,3,2,3750,324,4400,2400,90,4000,2,3,"Coal",1,1,1,NA,3,NA,1,10,1,2
"113",6456,"63",6,2,43,1,1,1,4,3,4,3,18,1637.16666666667,4400,3,2,3750,324,4400,2400,90,4000,2,3,"Coal",1,1,1,NA,3,NA,NA,NA,1,2
"114",6456,"63",6,1,45,1,1,1,4,2,4,3,18,1637.16666666667,4400,3,2,3750,324,4400,2400,90,4000,2,3,"Coal",1,1,1,NA,3,NA,1,20,1,2
"115",6456,"63",6,1,21,2,1,1,4,2,5,8,18,1637.16666666667,4400,3,2,3750,324,4400,2400,90,4000,2,3,"Coal",1,1,1,NA,3,NA,NA,10,1,2
"116",6456,"63",6,2,21,1,1,1,4,2,5,8,18,1637.16666666667,4400,3,2,3750,324,4400,2400,90,4000,2,3,"Coal",1,1,1,20,3,NA,NA,NA,1,2
"117",6468,"63",5,2,52,4,1,1,4,3,1,NA,NA,2652.2,4400,3,2,3750,324,4400,2400,105,5600,2,3,"Coal",1,1,1,NA,4,1,NA,NA,1,2
"118",6468,"63",5,2,24,1,1,1,4,2,5,7,NA,2652.2,4400,3,2,3750,324,4400,2400,105,5600,2,3,"Coal",1,1,1,NA,4,1,NA,NA,1,2
"119",6468,"63",5,1,26,1,1,1,4,2,4,3,NA,2652.2,4400,3,2,3750,324,4400,2400,105,5600,2,3,"Coal",1,1,1,NA,4,1,1,5,1,2
