"","qumn","province","nhh","a4","a5","a6","MajMin","a9_1","a10","c6","c11_1","c12","c32","d36aa","v1501","t101","t104","t116","t122","v1501.1","v1511","b6","b6_1","b6_2","b13_1","b13_2","b13_3","b13_4","b14","b15","b15_1","b15_2","n1_3","n1_3_1","e30","e31","e32","e33","e38"
"86",1060,"63",5,1,41,1,0,1,4,3,5,8,NA,1717,3420,3,1,4700,255,3420,1850,1,2,50,2011,5,NA,NA,NA,2001,1,6,4000,3470,1,2,2,5,NA
"87",1060,"63",5,2,16,NA,0,1,4,3,6,11.5,NA,1717,3420,3,1,4700,255,3420,1850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",1062,"63",4,2,36,1,1,1,4,2,4,3,18,4231,3420,3,1,4700,255,3420,1850,2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",1062,"63",4,2,16,2,1,1,4,1,6,11.5,18,4231,3420,3,1,4700,255,3420,1850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",1062,"63",4,1,41,1,1,1,4,2,5,8,18,4231,3420,3,1,4700,255,3420,1850,2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",1064,"63",6,2,17,2,0,1,4,2,5,2.5,25,7374.83333333333,3420,3,1,4700,255,3420,1850,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",1064,"63",6,2,55,4,0,1,4,3,1,NA,25,7374.83333333333,3420,3,1,4700,255,3420,1850,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",1064,"63",6,2,32,1,0,1,4,2,6,12,25,7374.83333333333,3420,3,1,4700,255,3420,1850,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",1064,"63",6,1,35,1,0,1,1,2,9,15,25,7374.83333333333,3420,3,1,4700,255,3420,1850,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",1066,"63",4,1,48,3,1,1,4,1,1,NA,18,3823,3420,3,1,4700,255,3420,1850,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",1066,"63",4,1,28,2,1,1,4,1,5,8,18,3823,3420,3,1,4700,255,3420,1850,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",1068,"63",9,2,46,1,0,1,4,2,1,NA,28,2386.66666666667,3420,3,1,4700,255,3420,1850,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",1068,"63",9,1,49,1,0,1,4,2,4,3,28,2386.66666666667,3420,3,1,4700,255,3420,1850,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",1068,"63",9,1,27,1,0,1,4,2,5,7,28,2386.66666666667,3420,3,1,4700,255,3420,1850,1,4,60,2011,6,NA,NA,NA,NA,NA,NA,11900,11500,1,2,2,5,NA
"100",1068,"63",9,2,18,2,0,1,4,2,5,8,28,2386.66666666667,3420,3,1,4700,255,3420,1850,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",1068,"63",9,1,20,2,0,1,4,2,5,8,28,2386.66666666667,3420,3,1,4700,255,3420,1850,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",1068,"63",9,2,39,2,0,1,4,2,4,3,28,2386.66666666667,3420,3,1,4700,255,3420,1850,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",1070,"63",6,2,44,1,1,1,4,2,4,3,11,36178.8333333333,4400,3,2,3750,324,4400,2400,2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",1070,"63",6,1,25,1,1,1,4,2,5,8,11,36178.8333333333,4400,3,2,3750,324,4400,2400,1,6,60,2010,6,NA,NA,2,NA,NA,NA,7000,6000,1,2,2,5,NA
"105",1070,"63",6,2,23,1,1,1,4,2,5,8,11,36178.8333333333,4400,3,2,3750,324,4400,2400,1,6,60,2011,6,NA,NA,2,NA,NA,NA,6000,5300,1,2,2,5,NA
"106",1070,"63",6,1,45,1,1,1,4,2,4,3,11,36178.8333333333,4400,3,2,3750,324,4400,2400,1,4.8,70,2011,5,NA,NA,2,NA,NA,NA,9000,7290,1,2,2,5,NA
"107",1072,"63",4,1,30,1,1,1,4,2,5,8,23,6913,4400,3,2,3750,324,4400,2400,1,7,70,2011,6,NA,NA,NA,2005,2,5,10000,8400,1,2,2,5,NA
"108",1072,"63",4,2,26,1,1,1,4,2,5,8,23,6913,4400,3,2,3750,324,4400,2400,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",1074,"63",4,1,17,2,1,1,4,2,6,11.5,15,12853.25,4400,3,2,3750,324,4400,2400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",1074,"63",4,2,36,1,1,1,4,2,4,4,15,12853.25,4400,3,2,3750,324,4400,2400,2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",1074,"63",4,1,43,1,1,1,4,2,5,8,15,12853.25,4400,3,2,3750,324,4400,2400,1,2.09999990463257,70,2011,6,NA,NA,2,2001,2,6,3150,2926,1,2,2,5,NA
"112",1076,"63",6,1,23,1,1,1,4,2,5,8,18,1637.16666666667,4400,3,2,3750,324,4400,2400,1,1,70,2010,6,NA,NA,NA,2009,2,6,2000,1800,1,2,2,5,NA
"113",1076,"63",6,2,43,1,1,1,4,3,4,3,18,1637.16666666667,4400,3,2,3750,324,4400,2400,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",1076,"63",6,1,45,1,1,1,4,2,4,3,18,1637.16666666667,4400,3,2,3750,324,4400,2400,1,1,70,2011,5,NA,NA,NA,2008,2,6,2500,2000,1,2,2,5,NA
"115",1076,"63",6,1,21,2,1,1,4,2,5,8,18,1637.16666666667,4400,3,2,3750,324,4400,2400,1,12,60,2010,6,NA,NA,NA,2009,2,6,13000,9700,1,2,2,5,NA
"116",1076,"63",6,2,21,1,1,1,4,2,5,8,18,1637.16666666667,4400,3,2,3750,324,4400,2400,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",1078,"63",5,2,52,4,1,1,4,3,1,NA,NA,2652.2,4400,3,2,3750,324,4400,2400,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",1078,"63",5,2,24,1,1,1,4,2,5,7,NA,2652.2,4400,3,2,3750,324,4400,2400,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",1078,"63",5,1,26,1,1,1,4,2,4,3,NA,2652.2,4400,3,2,3750,324,4400,2400,1,2,70,2011,6,NA,NA,NA,NA,NA,NA,5000,4000,1,2,2,NA,NA
"120",1080,"63",3,2,46,1,1,1,4,2,1,NA,13.8000001907349,6716,6439,3,2,3780,272,6439,3000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",1080,"63",3,1,49,1,1,1,4,1,5,7,13.8000001907349,6716,6439,3,2,3780,272,6439,3000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122",1080,"63",3,2,20,2,1,1,4,1,5,8,13.8000001907349,6716,6439,3,2,3780,272,6439,3000,1,6,54,2008,5,NA,NA,NA,NA,1,5,9500,7150,1,63,6,6,NA
"123",1082,"63",4,2,38,1,1,1,4,2,1,NA,12.1999998092651,12750,6439,3,2,3780,272,6439,3000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",1082,"63",4,1,20,2,1,1,4,1,12,13.5,12.1999998092651,12750,6439,3,2,3780,272,6439,3000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
