"","qumn","province","nhh","a4","a5","a6","MajMin","a9_1","a10","b2","Unemp","EmptType","b4_2","b5","b7","b10","b12","c11_1","c12","pa151"
"2638",23930,"yunnan",4,1,48,1,1,1,1,1981,0,0,40,1981,19,1,4,9,15,49932
"2639",23930,"yunnan",4,1,21,2,1,1,4,NA,1,NA,NA,NA,NA,NA,NA,6,12,NA
"2642",23950,"yunnan",3,1,48,1,1,1,4,1980,0,0,NA,1980,8,2,3,6,NA,46920
"2643",23950,"yunnan",3,2,47,1,1,1,1,1980,0,0,NA,1980,16,1,3,9,NA,24000
"2645",23960,"yunnan",3,1,28,1,1,1,1,2006,0,0,77,2006,10,4,4,11,16,5000
"2646",23960,"yunnan",3,2,27,1,1,1,2,2006,0,0,56,2009,19,4,2,11,16,3000
"2648",23970,"yunnan",3,2,45,1,1,1,4,1986,0,0,48,2011,8,6,2,5,8,24000
"2649",23970,"yunnan",3,1,47,1,1,1,4,1981,0,0,48,1981,15,3,6,5,8,19200
"2650",23970,"yunnan",3,1,20,2,1,1,4,NA,0,NA,NA,NA,NA,NA,NA,6,12,NA
"2651",23980,"yunnan",3,1,32,1,1,2,1,1997,0,0,60,1997,19,6,4,5,9,66000
"2654",23990,"yunnan",3,1,37,1,1,1,4,1994,0,0,70,2004,6,6,2,6,9,21600
"2657",24000,"yunnan",4,1,55,1,0,1,1,1980,0,NA,NA,NA,NA,NA,NA,9,13,20400
"2658",24000,"yunnan",4,2,54,1,0,1,4,1983,0,0,40,1983,16,7,5,8,13,31152
"2659",24000,"yunnan",4,2,27,2,0,1,4,2009,0,0,40,2009,19,4,3,11,17,30000
"2660",24000,"yunnan",4,2,24,2,0,1,4,2010,0,0,40,2010,17,4,3,11,17,72000
"2661",24010,"yunnan",3,1,57,1,0,1,4,1980,0,0,48,1985,19,1,1,4,5,33936
"2664",24020,"yunnan",4,1,37,1,0,1,4,2000,0,0,35,NA,3,3,1,5,8,13200
"2670",24040,"yunnan",3,2,46,1,0,1,4,1982,0,0,40,1982,19,4,4,7,14,45600
"2672",24050,"yunnan",3,1,30,1,0,1,4,2006,0,0,50,2006,16,4,4,11,17,19200
"2673",24050,"yunnan",3,2,29,1,0,1,1,2006,0,0,40,2006,17,4,5,11,17,24000
"2675",24060,"yunnan",3,1,35,1,0,1,4,2002,0,0,52,2002,17,4,4,11,17,30600
"2676",24060,"yunnan",3,2,30,1,0,1,4,2007,0,0,52,2007,17,4,4,11,17,22200
"2678",24070,"yunnan",4,1,52,1,0,1,1,NA,0,0,40,1983,16,4,4,9,16,34800
"2679",24070,"yunnan",4,2,47,1,0,1,1,NA,0,0,40,1986,16,4,4,9,16,35500
"2680",24070,"yunnan",4,2,24,2,0,1,2,NA,1,NA,NA,NA,NA,NA,NA,8,12,NA
"2682",24080,"yunnan",3,1,38,1,0,1,NA,2007,0,0,48,2007,6,2,5,8,12,12600
